ID,Breed,Breed_Group,AKC_Recognized,Adaptability,Affection_Level,Apartment_Friendly,Barking_Tendency,Cat_Friendly,Child_Friendly,Dog_Friendly,Exercise_Needs,Grooming_Needs,Shedding_Level,Health_Issues,Playfulness,Social_Needs,Intelligence,Trainability,Stranger_Friendly,Territorial,Watchdog_Ability
ID,Breed,Breed_Group,AKC_Recognized,Adaptability,Affection_Level,Apartment_Friendly,Barking_Tendency,Cat_Friendly,Child_Friendly,Dog_Friendly,Exercise_Needs,Grooming_Needs,Shedding_Level,Health_Issues,Playfulness,Social_Needs,Intelligence,Trainability,Stranger_Friendly,Territorial,Watchdog_Ability
1,Affenpinscher,Toy,Yes,5,5,5,3,3,1,3,3,3,2,3,4,5,4,3,3,5,5
2,Afghan_Hound,Hound,Yes,5,3,5,1,2,3,3,4,5,3,3,3,3,3,2,2,1,1
3,Airedale_Terrier,Terrier,Yes,5,4,3,3,1,4,1,4,4,3,2,5,4,5,4,2,5,5
4,Akbash_Dog,Working,Yes,3,3,1,4,3,2,1,2,3,3,3,2,2,3,2,2,5,5
5,Akita,Working,Yes,5,5,5,1,3,3,3,4,5,5,3,3,3,4,5,2,5,5
6,Alaskan_Husky,Working,No,5,4,1,4,1,3,5,5,3,3,2,5,3,3,3,5,3,3
7,Alaskan_Malamute,Working,Yes,3,3,1,4,1,4,1,4,5,5,3,4,4,3,2,4,5,5
8,American_Bulldog,Working,Yes,4,5,2,2,2,4,3,4,1,2,2,4,4,5,5,2,5,5
9,American_Eskimo,Non-sporting,Yes,5,5,3,5,3,2,4,4,4,5,3,4,4,5,5,2,5,5
10,American_Foxhound,Hound,Yes,5,5,1,5,2,5,5,5,1,1,1,5,4,3,3,3,1,1
11,American_Pitbull_Terrier,Terrier,No,3,5,2,3,1,4,4,3,1,2,3,4,4,4,4,4,3,3
12,American_Staffordshire_Terrier,Terrier,Yes,3,5,2,3,1,4,1,3,1,2,3,4,4,4,4,4,3,3
13,American_Water_Spaniel,Sporting,Yes,5,5,5,3,3,5,2,5,3,1,3,5,5,5,5,5,5,5
14,Antolian_Shepherd_Dog,Working,Yes,2,2,1,3,2,3,1,3,3,3,4,3,2,3,2,1,5,5
15,Aussiedoodle,Mix,No,5,5,3,3,3,4,3,5,4,3,4,3,5,5,5,3,2,5
16,Austrialian_Cattle_Dog,Herding,Yes,3,3,1,4,3,5,3,5,1,3,3,5,3,5,5,2,5,5
17,Austrialian_Kelpie,Herding,Yes,5,3,2,4,3,3,3,5,2,3,2,4,3,5,5,2,5,5
18,Austrialian_Shepherd,Herding,Yes,5,4,3,5,3,5,3,5,3,3,3,5,4,5,5,2,5,5
19,Austrialian_Terrier,Terrier,Yes,5,3,3,5,1,4,1,4,1,1,4,4,4,4,4,3,5,5
20,Azawakh,Hound,Yes,2,4,5,2,1,2,3,3,1,3,3,3,3,3,3,1,5,5
233,Barbet,Sporting,Yes,3,4,3,3,3,3,3,3,5,1,3,3,3,4,4,3,3,3
21,Basador,Mix,No,5,5,3,3,3,5,5,4,2,5,3,3,4,3,3,5,2,3
22,Basenji,Hound,Yes,3,2,2,2,2,2,2,4,1,2,3,3,2,5,2,2,3,5
23,Basset_Hound,Hound,Yes,5,5,1,5,5,5,5,3,2,3,3,3,3,3,3,5,1,1
24,Beagle,Hound,Yes,5,5,2,5,3,5,5,5,1,3,3,5,5,4,2,5,1,1
25,Bearded_Collie,Herding,Yes,5,5,3,4,4,4,4,3,4,4,3,5,4,5,5,4,5,5
26,Beauceron,Herding,Yes,3,4,2,4,2,3,2,5,2,3,2,4,4,5,5,2,5,5
27,Bedlington_Terrier,Terrier,Yes,4,5,4,3,3,4,4,3,4,1,2,3,4,3,4,4,2,2
28,Belgian_Laekenois,Herding,Yes,4,3,1,4,3,4,3,5,1,2,3,4,3,5,5,2,5,5
29,Belgian_Malinois,Herding,Yes,5,4,2,5,2,3,2,5,1,4,3,5,4,5,5,2,5,5
30,Belgian_Sheepdog,Herding,Yes,5,5,1,5,5,4,3,5,3,3,3,5,3,5,5,3,5,5
31,Belgian_Tervuren,Herding,Yes,5,4,3,5,2,3,3,4,4,4,3,5,5,5,5,2,5,5
32,Bergamasco,Herding,Yes,5,5,3,3,3,5,3,3,2,1,1,3,3,3,3,2,5,5
33,Berger_Picard,Herding,Yes,4,4,2,3,3,5,3,5,2,3,5,5,3,5,4,2,4,5
34,Bernese_Mountain_Dog,Working,Yes,3,3,2,3,3,3,3,3,3,4,5,3,3,3,3,3,5,5
35,Bichon_Fraise,Non-sporting,Yes,5,5,5,3,5,3,5,2,5,1,3,3,5,3,3,5,3,3
36,Black_and_Tan_Coonhound,Hound,Yes,5,5,1,5,5,5,5,5,1,5,5,5,5,5,2,2,1,1
37,Black_Russian_Terrier,Working,Yes,3,4,3,4,3,3,3,4,4,3,3,3,3,4,4,1,5,5
38,Bloodhound,Hound,Yes,3,5,1,5,5,5,5,5,5,5,5,5,5,5,3,5,1,1
39,Blue_Picardy_Spaniel,Sporting,No,5,5,2,3,3,5,5,5,3,3,3,5,4,4,4,3,3,4
40,Bluetick_Coonhound,Hound,Yes,5,5,1,5,3,4,5,5,1,1,1,3,3,3,3,3,1,1
41,Boerboel,Working,Yes,3,3,2,2,2,4,2,4,1,3,3,3,3,4,4,2,5,5
234,Bohemian_Shepherd,Herding,Yes,4,5,3,3,3,5,3,3,2,3,3,3,4,4,4,4,3,3
42,Bolognese,Toy,Yes,5,5,5,3,5,3,5,2,5,1,3,3,3,3,3,5,4,4
43,Border_Collie,Herding,Yes,5,5,2,5,3,5,3,5,2,3,3,5,5,5,5,3,5,5
44,Border_Terrier,Terrier,Yes,5,5,5,3,2,5,2,3,3,1,2,3,2,5,5,3,5,5
45,Borzoi,Hound,Yes,3,3,3,1,1,2,1,3,5,5,3,3,3,3,2,3,1,1
46,Boston_Terrier,Terrier,Yes,5,5,5,2,5,5,5,3,1,2,3,3,4,3,3,4,3,3
47,Bouvier_des_Flandres,Herding,Yes,5,5,1,5,3,5,3,3,5,3,3,3,3,5,5,2,5,5
48,Boxer,Working,Yes,4,5,4,2,3,3,2,5,1,3,3,4,5,4,5,3,5,5
49,Boykin_Spaniel,Sporting,Yes,5,5,5,3,3,3,3,5,4,3,3,3,3,3,4,3,3,3
50,Bracco_Italiano,Sporting,Yes,4,5,3,3,2,4,3,3,2,3,3,3,4,3,3,4,3,3
235,Braque_du_Bourbonnais,Sporting,No,3,3,4,2,2,3,4,4,1,2,3,3,3,3,4,3,3,3
236,Braque_Francais_Pyrenean,Sporting,No,3,3,2,3,2,5,5,5,1,3,2,3,3,3,3,3,3,3
51,Briard,Herding,Yes,4,5,4,3,3,4,3,5,5,3,3,4,5,5,5,2,5,5
52,Brittany,Sporting,Yes,5,5,3,3,3,5,5,5,2,2,3,5,5,5,5,3,3,3
53,Brussels_Griffon,Toy,Yes,4,5,5,3,5,1,3,2,2,1,3,3,5,5,2,3,4,4
54,Bull_Terrier,Terrier,Yes,4,4,3,4,2,3,3,2,5,1,3,5,5,5,4,2,5,5
55,Bulldog,Non-sporting,Yes,5,5,5,1,5,5,5,1,3,3,5,1,4,5,3,4,2,5
56,Bullmastiff,Working,Yes,3,3,3,2,1,3,1,2,2,3,5,2,3,3,3,3,5,5
57,Cairn_Terrier,Terrier,Yes,3,5,3,5,3,4,3,4,2,3,3,4,5,4,3,3,3,5
58,Canaan_Dog,Herding,Yes,5,3,5,3,2,5,2,3,1,3,3,3,3,5,3,3,5,5
59,Cane_Corso,Working,Yes,2,3,2,2,1,4,3,3,1,1,4,3,4,5,3,1,5,5
60,Cardigan_Welsh_Corgi,Herding,Yes,5,5,5,3,5,5,3,4,3,5,3,4,3,5,5,3,3,5
61,Catahoula_Leopard_Dog,Herding,Yes,3,4,1,4,3,3,2,5,1,3,3,3,3,4,3,2,5,5
62,Caucasian_Ovcharka,Working,Yes,4,4,2,3,3,3,2,2,2,3,2,3,2,3,2,2,5,5
63,Cavalier_King_Charles_Spaniel,Toy,Yes,5,5,5,3,3,3,5,3,3,3,4,3,5,4,4,5,2,2
64,Cavipom,Mix,No,5,5,5,3,3,2,3,2,3,3,3,3,5,3,3,5,2,5
65,Cavipoo,Mix,No,5,5,5,3,3,3,5,3,4,3,5,3,5,5,5,5,2,5
66,Cesky_Terrier,Terrier,Yes,3,4,3,3,3,3,1,3,4,2,2,3,3,4,2,2,5,5
67,Chesepeake_Bay_Retriever,Sporting,Yes,3,3,1,3,3,3,2,5,2,3,3,4,3,5,5,2,3,3
68,Chihuahua,Toy,Yes,5,5,5,5,5,1,3,1,1,1,4,3,5,5,3,3,4,4
69,Chinese_Crested,Toy,Yes,3,4,5,2,5,3,3,2,3,1,3,2,3,3,4,4,2,3
70,Chinese_Shar_Pei,Non-sporting,Yes,3,5,4,1,3,1,2,2,3,2,5,3,3,5,3,1,3,3
71,Chinook,Working,No,5,5,3,3,3,5,3,5,3,3,3,4,4,5,5,3,1,2
72,Chow_Chow,Non-sporting,Yes,2,2,3,5,2,2,1,2,5,5,4,2,2,2,2,1,3,3
73,Chug,Mix,No,5,5,5,3,5,2,2,2,3,3,5,3,5,3,3,3,4,4
74,Cirneco_dell'Etna,Hound,No,5,5,5,3,3,3,5,4,2,3,1,3,3,3,3,3,2,3
75,Clumber_Spaniel,Sporting,Yes,5,5,3,3,3,3,5,4,4,4,3,3,4,3,3,2,3,3
76,Cockapoo,Mix,No,5,5,5,3,5,4,5,3,5,3,3,3,5,4,4,5,2,3
77,Cocker_Spaniel,Sporting,Yes,5,5,5,4,3,5,4,4,5,3,4,4,5,5,5,5,3,3
78,Collie,Herding,Yes,4,4,1,5,5,5,5,5,3,5,4,3,5,4,5,3,5,5
79,Coton_de_Tulear,Non-sporting,Yes,8,8,8,3,5,3,4,3,5,2,3,4,4,3,3,4,3,3
80,Curly_Coated_Retriever,Sporting,Yes,5,5,3,3,3,4,5,3,2,1,2,3,4,5,5,3,3,3
237,Czechoslovakian_Vlcak,Working,No,2,3,1,3,3,1,1,3,2,5,3,3,3,3,3,3,5,5
81,Dachshund,Hound,Yes,5,5,45,5,3,2,2,3,2,1,3,3,4,4,2,2,3,5
82,Dalmatin,Non-sporting,Yes,5,5,1,33,5,5,5,1,5,4,5,5,5,,5,3,3,3
83,Dandie_Dinmont_Terrier,Terrier,Yes,5,3,5,2,3,4,4,3,2,1,2,3,3,3,3,3,4,5
84,Doberman_Pinscher,Working,Yes,5,5,5,2,3,4,2,3,1,3,4,3,3,5,5,1,5,5
85,Dogo_Argentino,Working,Yes,3,3,1,2,1,3,1,4,1,3,3,3,3,3,2,1,5,5
86,Dogue_de_Bordeau,Working,Yes,3,5,1,2,3,3,2,2,4,3,5,2,3,3,3,1,5,5
87,Doxipoo,Mix,No,5,5,5,4,3,3,3,3,3,3,4,3,3,4,3,3,3,3
88,English_Cocker_Spaniel,Sporting,Yes,5,5,5,3,4,3,3,4,4,4,3,3,3,3,5,3,2,5
89,English_Foxhound,Hound,Yes,4,5,1,5,2,5,5,5,1,3,1,3,4,3,4,3,1,1
90,English_Setter,Sporting,Yes,3,5,1,3,4,5,4,5,3,3,3,4,4,3,3,5,2,3
91,English_Springer_Spaniel,Sporting,Yes,5,5,5,3,3,3,5,5,4,3,4,5,4,5,3,5,3,3
92,English_Toy_Spaniel,Toy,Yes,5,5,5,2,3,3,4,1,2,2,2,3,5,4,3,2,3,5
93,Entlebucher_Mountain_Dog,Herding,Yes,3,4,2,4,3,4,3,5,1,4,3,4,4,4,3,2,5,5
94,Euraiser,Non-sporting,Yes,5,3,5,3,4,4,5,2,3,4,2,3,3,3,3,1,1,5
95,Field_Spaniel,Sporting,Yes,5,5,5,3,3,5,5,5,3,3,3,5,4,5,5,3,2,3
96,Finnish_Lapphund,Herding,No,5,5,2,5,3,5,5,5,3,5,2,4,3,4,3,2,3,5
97,Finnish_Spitz,Non-sporting,Yes,3,5,1,5,4,4,4,3,5,5,4,4,4,4,3,3,3,3
98,Flat-Coated_Retriever,Sporting,Yes,5,5,1,3,3,4,4,5,3,3,5,5,3,5,5,4,3,5
99,Fox_Terrier,Terrier,Yes,5,5,3,5,1,5,2,5,2,3,3,5,3,5,3,2,5,5
100,French_Bulldog,Non-sporting,Yes,5,5,5,2,2,2,2,2,2,2,2,5,3,3,3,5,3,3
101,German_Pinscher,Working,Yes,3,4,3,3,3,3,3,4,2,3,4,4,3,4,4,3,5,5
102,German_Shepherd_Dog,Herding,Yes,5,3,3,2,3,5,2,3,3,5,4,3,3,5,5,1,5,5
103,German_Shorthaired_Pointer,Sporting,Yes,4,1,1,3,1,4,4,5,1,4,4,5,3,4,5,3,3,3
104,German_Spitz,Non-Sporting,No,3,3,3,3,3,3,3,3,4,4,4,3,4,,4,3,3,4
105,German_Wirehaired_Pointer,Sporting,Yes,5,5,1,3,1,4,5,5,2,1,1,5,3,5,5,3,4,5
106,Giant_Schnauzer,Working,Yes,3,3,1,4,2,3,1,5,3,3,4,5,3,4,4,2,5,5
107,Glen_of_Imaal_Terrier,Terrier,Yes,5,4,5,3,1,3,2,4,2,2,3,1,3,4,3,3,5,5
108,Golden_Retriever,Sporting,Yes,5,5,2,3,4,5,5,5,3,4,5,5,,5,5,5,3,3
109,Goldendoodle,Mix,No,5,5,5,3,5,5,5,4,5,3,4,5,4,5,5,5,3,3
110,Gordon_Setter,Sporting,Yes,5,5,1,3,3,5,2,5,3,3,3,5,3,5,5,2,3,5
111,Great_Dane,Working,Yes,3,3,5,2,3,3,3,2,1,3,4,2,4,3,3,3,5,5
112,Great_Pyrenees,Working,Yes,4,3,2,4,4,4,3,2,3,5,5,2,4,4,2,2,2,5
113,Greater_Swiss_Mountain_Dog,Working,Yes,3,4,2,4,3,4,4,3,1,3,3,3,4,4,4,3,5,5
114,Greyhound,Hound,Yes,5,5,5,2,2,5,5,2,1,3,3,3,3,3,3,5,1,1
115,Harrier,Hound,Yes,3,3,1,5,2,5,5,5,1,3,1,3,4,3,3,4,1,1
116,Havanese,Toy,Yes,5,5,5,3,5,5,5,1,3,1,3,5,5,5,5,4,4,4
117,Ibizan_Hound,Hound,Yes,4,5,1,3,2,3,3,4,1,3,3,3,3,3,2,2,3,3
118,Icelandic_Sheepdog,Herding,Yes,5,5,52,5,3,5,3,3,2,3,3,5,5,4,4,4,3,3
119,Irish_Red_and_White_Setter,Sporting,Yes,5,5,2,3,3,5,5,5,3,3,3,4,4,3,3,4,1,3
120,Irish_Setter,Sporting,Yes,5,5,1,3,5,5,5,5,43,3,5,5,3,3,3,5,2,3
121,Irish_Terrier,Terrier,Yes,5,5,3,4,2,4,2,5,3,2,4,4,4,4,2,2,5,5
122,Irish_Water_Spaniel,Sporting,Yes,4,4,2,2,2,5,2,5,5,1,4,4,3,4,4,2,3,4
123,Irish_Wolfhound,Hound,Yes,4,5,2,2,3,4,5,3,3,2,5,3,3,3,3,3,1,1
124,Italian_Greyhound,Toy,Yes,5,5,3,3,3,1,3,3,2,3,3,3,3,3,2,3,4,4
125,Jack_Russell_Terrier,Terrier,Yes,5,5,1,5,1,3,1,5,2,3,3,5,3,5,5,3,5,5
126,Japanese_Chin,Toy,Yes,5,5,5,2,5,2,3,1,2,2,3,3,5,3,3,5,4,4
127,Keeshond,Non-Sporting,Yes,5,5,3,5,4,,44,2,5,5,3,3,4,3,4,5,3,5
128,Kerry_Blue_Terrier,Terrier,Yes,5,4,5,3,2,4,2,4,4,2,3,4,4,4,4,3,5,5
129,Komondor,Working,Yes,3,3,2,4,4,3,2,3,5,1,3,3,3,4,4,1,5,5
130,Kooikerhondje,Sporting,Yes,5,5,3,3,3,4,3,4,2,3,3,5,3,4,4,2,4,5
131,Kromfohrlander,Terrier,Yes,4,4,3,3,3,3,4,3,3,3,3,5,4,4,4,2,3,3
132,Kuvasz,Working,Yes,3,3,1,4,3,3,2,3,5,4,3,3,3,3,3,2,5,5
133,Labradoodle,Mix,No,5,5,5,3,4,5,5,5,5,3,4,4,5,5,5,5,3,3
134,Labrador_Retriever,Sporting,Yes,5,2,5,3,4,5,5,5,1,3,4,5,5,5,5,5,3,3
135,Lacy_Dog,Working,No,3,3,1,3,1,3,2,5,1,3,2,4,3,5,5,2,5,5
136,Lagotto_Romagnolo,Sporting,No,3,3,3,3,3,3,3,3,5,2,3,4,4,3,4,3,3,3
138,Lakeland_Terrier,Terrier,Yes,3,4,,4,41,4,1,4,,45,2,4,4,4,2,3,5,5
139,Large_Munsterlander,Sporting,No,5,4,1,3,3,5,5,5,3,3,2,5,3,5,5,3,3,3
140,Leonberger,Working,Yes,3,5,1,3,3,5,4,4,5,4,5,4,5,3,,33,5,5
141,Lhasa Apso,Non-sporting,Yes,5,5,5,5,5,5,5,2,5,4,2,3,3,5,3,2,3,3
142,Lhasapoo,Mix,No,5,5,5,4,5,3,3,2,5,2,3,3,3,5,3,2,3,
143,Lowchen,Non-Sporting,No,5,5,5,5,5,3,3,3,5,2,2,3,5,3,5,5,4,4
144,Lurcher,Mix,No,5,3,1,1,1,3,3,5,2,3,1,3,3,5,5,3,1,1
145,Maltese,Toy,Yes,5,5,5,5,5,1,5,1,5,1,3,3,5,5,3,5,4,4
146,Maltipoo,Mix,No,5,5,5,3,5,2,3,2,5,3,4,3,5,4,3,5,2,5
147,Manchester_Terrier,Terrier,Yes,5,4,5,4,3,3,3,4,1,3,2,4,5,4,3,3,5,5
148,Mastiff,Working,Yes,5,5,3,1,5,5,3,2,2,3,4,2,3,3,3,3,5,5
149,Miniature_American_Shepherd,,No,2,4,3,3,3,4,4,,43,4,3,5,3,5,5,3,3,4
150,Miniature_Bull_Terrier,Terrier,No,4,4,3,4,1,4,2,4,1,3,3,5,,54,2,3,5,5
151,Miniature_Pinscher,Toy,Yes,5,5,4,5,3,3,2,,21,2,2,5,4,5,2,3,4,4
152,Miniature_Schnauzer,Terrier,Yes,5,5,3,5,3,3,3,3,4,1,3,4,5,5,3,4,5,
153,Mudi,Herding,No,5,5,3,4,3,3,3,4,2,2,3,5,5,5,5,3,3,5
154,Neapolitan_Mastiff,Working,Yes,2,3,2,2,3,3,1,2,3,3,5,2,3,3,3,1,5,
155,Newfoundland,Working,Yes,4,4,3,3,5,5,4,3,5,5,5,3,4,4,3,4,5,
156,Norfolk_Terrier,Terrier,Yes,5,4,4,,4,44,5,4,3,2,2,4,3,4,2,2,3,3
157,Norwegian_Buhund,Herding,No,5,5,2,5,5,,53,5,2,4,2,5,3,5,,53,3,5
158,Norwegian_Elkhound,Hound,No,5,5,3,5,3,5,3,4,5,5,3,3,3,5,3,3,3,5
159,Norwegian_Lundehund,Non-Sporting,No,4,3,1,2,2,3,3,5,3,3,3,4,4,5,3,2,3,4
160,Norwich_Terrier,Terrier,Yes,5,4,4,4,4,4,5,4,3,2,2,4,3,4,2,2,3,3
161,Nova_Sciota_Duck_Tolling_Retriever,Sporting,Yes,5,5,3,3,3,5,5,5,3,3,4,5,4,5,5,2,3,3
162,Old_English_Sheepdog,Herding,Yes,3,5,1,4,3,5,3,3,5,5,3,3,5,4,3,2,5,5
163,Otterhound,Hound,Yes,3,3,1,3,3,4,3,5,5,5,2,5,3,3,2,3,1,1
164,Papillon,Toy,Yes,5,5,3,5,5,1,2,5,3,1,3,5,5,5,5,3,4,4
165,Pekapoo,Mix,No,5,5,5,3,3,2,3,2,5,3,3,2,4,3,2,2,3,3
166,Pekingese,Toy,No,5,5,5,3,5,1,3,1,5,3,4,1,3,3,2,3,4,4
167,Pembroke_Welsh_Corgi,Herding,Yes,5,5,5,5,5,5,3,4,3,5,3,4,4,5,5,3,5,5
168,Perro_de_Presa_Canario,Working,No,2,3,1,2,1,2,1,3,1,3,4,3,3,3,2,1,5,
169,Peruvian_Inca_Orchid,Hound,No,4,4,5,2,3,3,4,3,1,2,3,2,5,4,4,3,3,5
170,Petit_Basset_Griffon_Vendeen,Hound,Yes,3,5,4,4,3,4,5,4,3,3,4,4,4,4,5,5,1,1
171,Pharaoh_Hound,Hound,Yes,5,4,3,3,2,4,4,3,1,,1,13,4,4,2,4,1,
172,Plott,Hound,Yes,3,3,1,5,2,4,3,5,1,3,1,5,3,4,3,2,5,5
173,Pointer,Sporting,Yes,5,4,1,3,1,5,,55,1,,1,15,3,4,3,2,4,5
174,Polish_Lowland_Sheepdog,Herding,Yes,3,5,3,4,3,4,2,4,4,4,2,4,4,5,2,2,5,5
175,Pomapoo,Mix,No,5,5,5,3,5,2,3,2,4,2,3,3,4,3,3,3,3,4
176,Pomeranian,Toy,Yes,5,5,5,4,5,1,3,2,3,2,3,3,3,3,3,3,4,4
177,Pomsky,Mix,No,5,3,3,4,1,1,3,3,3,5,3,3,4,3,3,3,3,3
178,Poodle,Non-sporting,Yes,5,5,5,3,4,5,4,4,5,1,3,4,5,5,5,4,4,4
179,Portuguese_Podengo,Hound,No,3,4,5,2,2,4,4,3,1,2,1,3,3,3,3,3,3,5
180,Portuguese_Water_Dog,Working,Yes,5,5,4,3,4,4,4,4,3,1,3,4,5,4,3,3,3,5
181,Pug,Toy,Yes,5,5,5,3,5,4,5,1,1,4,5,3,3,3,3,5,4,4
182,Pugapoo,Mix,No,5,5,5,3,5,3,3,2,4,3,3,3,4,3,3,3,2,4
183,Puggle,Mix,No,5,5,5,3,3,4,4,3,1,5,3,3,4,3,3,3,2,2
184,Puli,Herding,Yes,3,4,4,4,3,4,3,4,5,3,3,4,3,5,3,2,5,5
185,Pumi,Herding,Yes,5,5,3,4,3,4,3,4,3,2,2,5,5,5,5,2,4,5
186,Pyrenean_Shepherd,Herding,No,2,5,4,5,3,4,2,5,2,2,2,4,3,5,5,2,5,5
187,Rat_Terrier,Terrier,Yes,5,5,5,3,4,5,4,3,1,3,3,3,5,5,5,4,5,5
188,Redbone_Coonhound,Hound,Yes,5,5,1,5,2,5,5,5,1,1,1,4,4,3,3,4,1,1
189,Rhodesian_Ridgeback,Hound,No,4,5,3,1,2,5,2,4,1,2,3,4,4,5,4,2,1,1
190,Rottweiler,Working,Yes,3,3,3,2,3,2,1,3,1,3,3,3,5,4,3,1,5,5
191,Russian_Toy,Toy,No,4,5,4,3,4,1,3,3,2,2,2,4,4,3,3,3,3,3
192,Saint_Bernard,Working,Yes,4,5,3,3,5,5,,52,4,3,5,2,4,3,3,3,5,5
193,Saluki,Hound,Yes,5,3,5,2,2,3,3,3,2,2,3,3,3,3,2,3,1,1
194,Samoyed,Working,Yes,4,5,3,4,3,5,4,4,4,5,3,3,4,3,3,3,5,5
195,Schapendoes,Herding,No,5,5,3,3,3,4,4,4,3,2,3,4,,45,5,2,4,5
196,Schipperke,Non-Sporting,No,5,4,2,5,4,4,3,5,2,2,3,5,3,4,4,2,3,3
197,Schnoodle,Mix,No,5,5,5,3,4,4,3,3,5,1,2,3,5,5,5,3,3,3
198,Scottish_Deerhound,Hound,Yes,3,5,5,1,2,5,5,3,2,3,5,3,5,3,3,5,1,1
199,Scottish_Terrier,Terrier,Yes,3,4,5,2,3,3,2,3,4,2,4,3,4,5,2,3,5,5
200,Sealyham_Terrier,Terrier,Yes,5,5,5,3,3,4,4,3,3,1,3,2,4,3,3,3,4,5
201,Shetland_Sheepdog,Herding,Yes,5,5,2,5,5,4,4,3,3,3,3,3,4,5,5,2,5,5
202,Shiba_Inu,Non-sporting,Yes,4,4,5,3,2,3,3,3,1,3,3,3,3,3,2,2,5,5
203,Shih_Tzu,Toy,Yes,5,5,5,5,5,2,5,2,5,1,3,2,5,5,3,3,4,4
204,Shihpoo,Mix,No,5,5,5,3,5,2,5,2,5,1,3,3,5,4,3,3,2,5
205,Siberian_Husky,Working,Yes,5,5,2,4,1,5,5,4,2,5,3,4,3,5,2,3,1,1
206,Silken_Windhound,Hound,No,4,4,5,2,3,3,3,3,3,3,2,3,3,3,3,3,2,2
207,Silky_Terrier,Toy,Yes,3,5,5,5,3,2,2,3,5,1,3,4,4,4,4,3,5,5
208,Skye_Terrier,Terrier,Yes,5,4,5,5,2,3,2,3,3,3,4,3,4,3,2,2,4,5
209,Sloughi,Hound,No,1,3,4,2,1,2,3,3,1,3,1,3,3,3,2,2,5,5
210,Small_Munsterlander_Pointer,Sporting,No,5,5,1,3,3,5,5,5,3,3,2,4,4,5,5,3,3,3
211,Soft_Coated_Wheaten_Terrier,Terrier,Yes,5,5,4,4,1,4,4,4,5,2,2,4,5,4,4,4,5,5
212,Spanish_Greyhound,Hound,No,5,5,5,2,1,5,5,3,1,3,1,3,3,3,3,4,1,1
213,Spanish_Water_dog,Sporting,No,4,5,2,3,2,2,3,4,3,1,3,4,4,5,5,2,5,5
214,Spinone_Italiano,Sporting,No,3,4,3,2,3,5,5,4,2,3,3,3,4,5,4,5,3,3
215,Staffordshire_Bull_Terrier,Terrier,Yes,3,5,3,2,2,3,1,4,1,3,3,3,4,4,2,5,3,3
216,Standard_Schnauzer,Working,Yes,3,5,4,4,4,4,4,2,1,5,4,5,5,2,5,2,5,
217,Sussex_Spaniel,Sporting,Yes,5,5,3,5,3,5,5,4,3,3,3,3,3,3,3,3,3,3
218,Swedish_Lapphund,Herding,No,5,5,2,5,5,5,5,4,3,5,1,5,4,5,3,2,5,5
219,Swedish_Vallhund,Herding,No,5,5,3,4,5,5,3,4,3,5,2,3,4,5,5,5,2,5
220,Tibetan_Spaniel,Non-sporting,No,5,5,5,3,5,3,5,2,3,3,2,3,5,3,3,2,2,5
221,Treeing_Walker_Coonhound,Hound,No,3,4,1,5,1,4,3,5,1,3,1,4,3,3,2,3,1,1
222,Vizsla,Sporting,Yes,5,5,2,3,3,3,3,5,1,2,3,5,4,5,3,3,3,3
223,Weimaraner,Sporting,Yes,5,5,1,3,5,5,5,5,1,3,1,5,5,5,5,5,3,3
224,Welsh_Springer_Spaniel,Sporting,No,5,5,1,3,3,5,5,5,3,3,3,4,3,5,5,3,2,5
225,Welsh_Terrier,Terrier,Yes,5,4,4,4,1,4,2,4,4,1,2,4,3,4,3,3,5,5
226,West_Highland_White_Terrier,Terrier,Yes,4,4,3,5,3,4,4,4,4,1,5,5,4,4,4,4,5,5
227,Whippet,Hound,Yes,5,3,5,2,1,3,3,3,1,2,3,3,3,3,3,3,1,1
229,Wirehaired_Vizsla,Sporting,Yes,5,5,2,3,3,4,4,4,3,2,3,4,2,5,5,2,4,5
228,Wireheared_Pointing_Griffon,Sporting,Yes,3,4,2,3,3,4,4,4,3,3,2,4,4,4,4,3,4,5
230,Xoloitzcuintli,Non-Sporting,No,5,5,5,2,5,3,5,3,2,1,1,3,3,3,3,2,5,5
231,Yorkipoo,Mix,No,5,5,5,4,4,2,3,2,4,1,3,3,5,4,3,3,3,5
232,Yorkshire_Terrier,Toy,Yes,5,5,5,5,4,1,2,1,5,3,4,3,5,5,3,3,4,4
